listing_id,lat,lon,price,beds,price_bed,neighbourhood,property_type,room_type,accommodates
519272,42.3040313,-71.1064623,$62.00,1,62,Jamaica Plain,Apartment,Private room,2
14090779,42.3169796,-71.1124623,$69.00,1,69,Jamaica Plain,Condominium,Private room,2
8481291,42.3120135,-71.1003526,$69.00,1,69,Jamaica Plain,Apartment,Private room,2
6990904,42.3144764,-71.1006797,$73.00,1,73,Jamaica Plain,House,Private room,2
197727,42.311169,-71.1187802,$85.00,1,85,Jamaica Plain,Apartment,Private room,1
932853,42.3176253,-71.1064023,$120.00,1,120,Jamaica Plain,Apartment,Private room,2
11159585,42.3122377,-71.1242252,$125.00,2,62.5,Jamaica Plain,House,Private room,2
9677354,42.3169505,-71.1059087,$70.00,1,70,Jamaica Plain,Apartment,Private room,1
13426831,42.3170274,-71.1048852,$100.00,1,100,Jamaica Plain,Condominium,Private room,2
7956634,42.2955696,-71.1220297,$61.00,1,61,Jamaica Plain,Condominium,Private room,2
568234,42.3070002,-71.1117353,$125.00,2,62.5,Jamaica Plain,House,Private room,4
1030500,42.2915123,-71.1162369,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
13652374,42.2329523,-71.1335994,$27.00,1,27,Jamaica Plain,Apartment,Private room,1
12930651,42.3042287,-71.1138303,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
3997572,42.3140033,-71.1122811,$85.00,1,85,Jamaica Plain,House,Private room,2
4223387,42.3178068,-71.1007759,$75.00,2,37.5,Jamaica Plain,House,Private room,3
12855396,42.3239036,-71.1090608,$57.00,1,57,Jamaica Plain,House,Private room,1
12426823,42.2784305,-71.1599071,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
14361322,42.2784305,-71.1599071,$40.00,1,40,Jamaica Plain,Apartment,Private room,1
2963419,42.3205597,-71.1136688,$100.00,1,100,Jamaica Plain,House,Private room,1
5904732,42.3143258,-71.0988743,$70.00,1,70,Jamaica Plain,House,Private room,2
3591359,42.3238121,-71.1053298,$190.00,2,95,Jamaica Plain,Apartment,Entire home/apt,4
2538536,42.3317642,-71.1211635,$149.00,1,149,Jamaica Plain,Apartment,Entire home/apt,3
4975581,42.319843,-71.1142976,$168.00,2,84,Jamaica Plain,Apartment,Entire home/apt,6
4767023,42.3243037,-71.1067244,$205.00,4,51.25,Jamaica Plain,House,Entire home/apt,5
6364042,42.3143258,-71.0988743,$65.00,1,65,Jamaica Plain,House,Private room,2
