listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability,n,sscore,avgsscore,clus
3988018,42.331929,-71.0820555,1.14,1.75,1.09,3.87,5.14,2.02,3.8,2.58,3.01,1.75,75,2,37.5,97,7.09,173,1,1,2,100,4,1,1,87,876,1809,2.06506849315068,4
728238,42.2955696,-71.1220297,3.87,4.47,3.94,6.38,8.56,5.42,7.22,6,1.13,4.89,60,1,60,87,1.88,88,1,1,2,100,2,1,1,350,450,846,1.88,4
4054079,42.314675,-71.1046991,2.06,2.78,2.11,4.86,6.98,3.68,5.44,4.42,1.24,3.03,94,1,94,95,2.74,61,5,2,2,100,2,1,0,9,312,637,2.04166666666667,4
12849003,42.3317013,-71.081693,1.17,1.77,1.11,3.87,5.12,2.01,3.79,2.56,3.03,1.74,85,1,85,98,5.09,19,5,1,2,100,1,1,1,255,90,209,2.32222222222222,4
8067585,42.3054243,-71.1140629,2.82,3.35,2.99,5.32,7.76,4.56,6.32,5.2,0.52,3.91,83,1,83,98,1.66,13,1,1,2,100,1,1,1,50,102,207,2.02941176470588,4
7723492,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,75,1,75,94,1.69,22,1,1,2,100,5,1,1,163,107,198,1.85046728971963,4
1956275,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,168,3,56,88,2.3,74,1,2,6,100,1,2,3,309,425,769,1.80941176470588,4
1136972,42.331929,-71.0820555,1.14,1.75,1.09,3.87,5.14,2.02,3.8,2.58,3.01,1.75,60,1,60,96,7.07,280,1,1,2,100,4,1,1,89,1689,3379,2.00059206631143,4
1071235,42.3166783,-71.110405,2.04,2.57,2.15,4.54,7.09,3.8,5.56,4.54,1.25,3.1,135,1,135,94,3.75,152,1,2,2,100,2,1,1,303,902,1932,2.14190687361419,4
4233242,42.3170274,-71.1048852,1.87,2.59,1.92,4.67,6.79,3.5,5.25,4.23,1.35,2.84,119,1,119,97,0.64,15,6,1,2,100,2,1,1,300,96,199,2.07291666666667,4
3905508,42.289849,-71.1141651,4,4.61,4.07,6.58,8.69,5.54,7.35,6.13,1.7,5.02,130,1,130,99,1.68,28,2,2,2,100,1,1,1,285,178,388,2.17977528089888,4
9590679,42.3239036,-71.1090608,1.35,2.12,1.66,4.1,6.75,3.46,5.23,4.19,1.56,2.61,65,1,65,100,3.07,17,3,1,1,100,1,1,1,119,105,230,2.19047619047619,4
447826,42.3166783,-71.110405,2.04,2.57,2.15,4.54,7.09,3.8,5.56,4.54,1.25,3.1,71,1,71,96,3.86,198,2,1,2,100,1,1,1,295,1370,3013,2.1992700729927,4
9459945,42.3239126,-71.1148611,1.54,2,1.81,3.91,7.02,3.73,5.29,4.46,1.46,2.85,55,1,55,100,0.61,5,1,1,2,100,1,1,1,305,39,82,2.1025641025641,4
2365632,42.3104274,-71.1173996,2.54,3.07,2.81,5.03,7.78,4.48,6.24,5.22,0.54,3.71,220,2,110,94,1.8,55,1,2,4,93,2,1,2,58,288,645,2.23958333333333,4
14308511,42.3069064,-71.1126004,2.78,3.37,2.84,5.34,7.63,4.41,6.16,5.08,0.54,3.76,72,2,36,92,5,5,1,1,3,100,1,1,1,344,32,64,2,4
13751426,42.3063988,-71.1027361,2.57,3.31,2.64,5.55,7.26,4.12,5.92,4.7,1.31,3.59,70,1,70,96,4.41,5,1,1,2,100,1,1,1,30,24,58,2.41666666666667,4
1692573,42.3096742,-71.1131974,2.56,3.09,2.63,5.06,7.57,4.28,6.04,5.01,0.64,3.58,135,3,45,96,2.63,92,2,2,4,100,1,1,2,303,579,1190,2.0552677029361,4
5182313,42.3178068,-71.1007759,1.8,2.53,1.87,4.68,6.72,3.43,5.18,4.16,1.58,2.82,110,1,110,96,3.75,68,1,1,2,100,1,1,1,72,421,956,2.270783847981,4
13865867,42.3068503,-71.1192035,2.83,3.35,3.1,5.27,7.98,4.7,6.46,5.42,0.15,4,70,1,70,96,5,5,2,1,2,100,3,1,1,137,28,63,2.25,4
4331214,42.3069064,-71.1126004,2.78,3.37,2.84,5.34,7.63,4.41,6.16,5.08,0.54,3.76,75,1,75,95,1.48,34,2,1,1,100,2,1,1,131,204,454,2.22549019607843,4
12824498,42.3237568,-71.1114464,1.5,2.03,1.77,4.01,6.9,3.61,5.32,4.34,1.54,2.81,70,1,70,90,1.03,4,1,1,2,100,1,1,1,0,17,35,2.05882352941176,4
6377998,42.3143258,-71.0988743,2,2.73,2.07,4.98,6.67,3.53,5.33,4.11,1.53,3.01,480,7,68.57,97,1.44,19,2,2,12,100,3,2.5,4,327,72,148,2.05555555555556,4
743211,42.3070002,-71.1117353,2.74,3.41,2.79,5.38,7.59,4.36,6.12,5.03,0.58,3.71,550,5,110,97,1.17,49,2,2,9,100,2,2.5,4,334,343,707,2.06122448979592,4
5166870,42.3063988,-71.1027361,2.57,3.31,2.64,5.55,7.26,4.12,5.92,4.7,1.31,3.59,180,2,90,94,1.66,32,1,2,4,100,1,1,2,322,229,470,2.05240174672489,4
3593290,42.3082538,-71.1166554,2.62,3.16,2.89,5.13,7.77,4.48,6.23,5.21,0.35,3.8,325,4,81.25,100,0.35,8,2,2,5,86,1,3.5,4,340,67,162,2.41791044776119,4
1612842,42.3097614,-71.1106476,2.49,3.13,2.54,5.1,7.41,4.11,5.87,4.85,0.71,3.46,290,4,72.5,98,0.23,8,1,2,4,100,1,1,3,360,44,104,2.36363636363636,4
332225,42.2915324,-71.1130742,3.89,4.51,3.96,6.48,8.58,5.44,7.24,6.02,1.59,4.91,159,3,53,94,0.86,41,2,2,4,100,2,2,4,16,263,578,2.19771863117871,4
496022,42.3097835,-71.1188558,2.68,3.16,2.95,5.07,7.97,4.67,6.43,5.41,0.41,3.89,200,1,200,99,0.44,16,2,1,2,0,1,1,1,28,94,217,2.30851063829787,4
8720718,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,95,1,95,98,7.38,80,2,1,2,100,2,1,1,231,444,945,2.12837837837838,4
9212213,42.3193007,-71.1075489,1.94,2.47,1.93,4.45,6.88,3.59,5.34,4.32,1.51,2.88,65,1,65,85,2.06,18,3,2,2,100,1,1,1,248,76,144,1.89473684210526,4
8310894,42.3239126,-71.1148611,1.54,2,1.81,3.91,7.02,3.73,5.29,4.46,1.46,2.85,99,1,99,98,0.79,9,1,2,3,100,1,1,1,0,47,92,1.95744680851064,4
1167221,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,93,2,46.5,95,3.25,97,2,1,3,100,5,1,1,317,594,1250,2.1043771043771,4
2592416,42.3066062,-71.1055281,2.65,3.38,2.72,5.51,7.34,4.19,6,4.78,0.94,3.66,500,6,83.33,100,0.21,6,2,2,10,60,1,2.5,4,88,40,84,2.1,4
1701741,42.307678,-71.1186091,2.77,3.31,3.04,5.25,8.01,4.72,6.48,5.46,0.23,3.94,295,2,147.5,88,0.23,8,1,2,4,100,1,1,2,365,43,84,1.95348837209302,4
4526315,42.3133248,-71.1231827,2.62,3.09,2.89,5,8.02,4.72,6.38,5.46,0.59,3.94,450,5,90,98,1.36,28,2,2,11,100,1,3.5,5,145,185,412,2.22702702702703,4
5918944,42.3123413,-71.0993003,2.19,2.92,2.26,5.16,6.87,3.73,5.54,4.32,1.45,3.2,150,2,75,100,0.31,5,2,2,4,100,2,1.5,2,279,33,62,1.87878787878788,4
4181530,42.308654,-71.1131202,2.69,3.23,2.72,5.2,7.59,4.29,6.05,5.03,0.53,3.64,150,2,75,99,0.78,18,3,2,4,100,1,1,2,213,136,271,1.99264705882353,4
6065674,42.3189996,-71.1127938,1.85,2.39,2.13,4.36,7.09,3.8,5.56,4.53,1.2,3.02,399,4,99.75,95,0.75,12,1,2,8,100,2,2,4,274,72,146,2.02777777777778,4
13698137,42.3167535,-71.1075896,1.8,2.63,2,4.6,6.95,3.65,5.41,4.39,1.3,2.95,71,1,71,93,12.13,19,2,1,2,100,2,1,1,97,80,164,2.05,4
5049582,42.3170274,-71.1048852,1.87,2.59,1.92,4.67,6.79,3.5,5.25,4.23,1.35,2.84,70,1,70,100,0.48,8,6,1,2,100,2,1,1,305,53,103,1.94339622641509,4
