listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability
3589869,42.2843405,-71.068907,4.73,5.37,4.71,7.65,8.15,5.51,7.08,5.85,3.85,5.51,80,1,80,80,0.96,4,Apartment,Private room,2,92,3,1,1,93
377474,42.2983071,-71.0617246,3.99,4.56,3.98,6.55,7.05,4.41,5.98,4.75,3.75,4.41,395,8,49.38,85,0.38,19,House,Entire home/apt,14,100,11,2.5,5,261
3539510,42.3248669,-71.0593373,2.65,2.85,2.59,4.84,5.17,2.53,4.1,2.87,4.23,2.7,164,3,54.67,92,0.52,12,Apartment,Entire home/apt,6,73,10,1,3,224
213086,42.3179511,-71.0540683,3.11,3.37,3.05,5.36,5.8,3.16,4.73,3.5,4.45,3.22,70,1,70,92,0.76,22,Apartment,Private room,1,80,4,1,1,259
8536113,42.2953276,-71.0625157,4.15,4.77,4.13,6.76,7.26,4.61,6.19,4.95,3.8,4.62,300,4,75,93,5.87,9,Condominium,Entire home/apt,8,94,3,2,5,5
11584799,42.2934177,-71.0649361,4.33,5.02,4.31,7.01,7.51,4.86,6.44,5.2,3.67,4.87,85,1,85,100,1.78,9,Apartment,Private room,2,100,8,1,1,124
11258721,42.3050714,-71.0763506,3.06,3.71,3.05,5.98,6.94,4.11,5.76,4.54,2.82,3.85,37,1,37,90,0.8,4,Apartment,Private room,1,100,22,1,1,301
3294152,42.3136331,-71.061135,2.94,3.41,2.88,5.4,6.07,3.43,5,3.77,3.92,3.26,130,1,130,87,2.89,77,Apartment,Entire home/apt,4,100,4,1,1,329
8717204,42.2956054,-71.0590848,4.27,4.84,4.26,6.82,7.33,4.68,6.25,5.02,3.97,4.69,180,2,90,90,2.73,27,Apartment,Entire home/apt,4,100,3,2,2,170
8536127,42.3141924,-71.0694062,2.72,3.33,2.66,5.33,6.15,3.46,5.08,3.85,3.46,3.2,225,4,56.25,75,1.82,21,House,Entire home/apt,8,94,3,2,4,353
6881541,42.297655,-71.0501681,4.32,4.8,4.26,6.79,7.27,4.63,6.2,4.97,4.53,4.65,199,4,49.75,88,1.83,24,Apartment,Entire home/apt,7,100,9,1,3,342
3344322,42.3136331,-71.061135,2.94,3.41,2.88,5.4,6.07,3.43,5,3.77,3.92,3.26,75,1,75,91,1.22,32,House,Private room,2,100,4,2.5,1,336
7454966,42.3189538,-71.0546806,3,3.26,2.94,5.25,5.69,3.04,4.62,3.38,4.33,3.11,69,1,69,82,0.68,9,Apartment,Private room,2,79,18,1,1,359
10426124,42.3033849,-71.0823845,3.08,3.74,3.07,6,7.04,4.13,5.79,4.57,2.46,3.87,84,3,28,81,2.39,18,House,Entire home/apt,5,100,2,1,3,130
10138792,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,129,2,64.5,96,0.93,5,Apartment,Entire home/apt,4,97,21,2,2,203
13514017,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,295,2,147.5,92,6.36,14,Apartment,Entire home/apt,6,91,2,1,2,306
13450880,42.351979,-71.048016,3.26,2.8,2.97,4.2,3.1,1.21,2.07,0.83,5.62,2.13,149,2,74.5,100,2.63,5,Apartment,Private room,2,100,4,1,1,56
5191658,42.3497155,-71.0503794,3.05,2.6,2.76,4.21,3.27,1,2.2,0.97,5.38,1.92,250,1,250,93,1.31,24,Loft,Entire home/apt,2,100,1,1,1,241
8271384,42.3395808,-71.0499324,3.03,2.8,2.77,4.79,4.19,1.9,3.12,1.89,5.17,2.24,125,1,125,95,7.48,90,Apartment,Entire home/apt,2,100,1,1,0,319
13298546,42.3497155,-71.0503794,3.05,2.6,2.76,4.21,3.27,1,2.2,0.97,5.38,1.92,209,1,209,100,4.89,15,Loft,Entire home/apt,2,100,1,1,0,3
11563716,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,389,4,97.25,95,0.73,4,Apartment,Entire home/apt,6,96,313,2,3,72
6598203,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,603,3,201,88,0.79,12,Apartment,Entire home/apt,5,96,313,2,2,0
2649521,42.3406228,-71.05414,2.74,2.5,2.47,4.49,4.07,1.56,3,1.76,4.87,1.95,600,4,150,100,0.29,8,Apartment,Entire home/apt,6,100,1,3,3,249
13510994,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,295,1,295,96,2,5,Apartment,Entire home/apt,2,98,13,1,1,1
9218362,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,214,1,214,99,3.19,32,Apartment,Entire home/apt,3,100,1,1,1,267
6006121,42.3336156,-71.0497892,2.92,3.02,2.87,5.01,4.72,2.08,3.64,2.41,4.83,2.47,145,1,145,92,6.38,105,Apartment,Private room,2,100,1,1,1,278
2564544,42.3452801,-71.0524536,2.93,2.7,2.67,4.58,3.66,1.37,2.58,1.35,5.07,2.15,179,1,179,98,2.13,60,Apartment,Private room,2,100,2,1,1,333
2384107,42.3452801,-71.0524536,2.93,2.7,2.67,4.58,3.66,1.37,2.58,1.35,5.07,2.15,350,1,350,98,0.63,19,Apartment,Entire home/apt,3,100,1,1,1,5
13951039,42.3497155,-71.0503794,3.05,2.6,2.76,4.21,3.27,1,2.2,0.97,5.38,1.92,185,1,185,100,4.38,7,Loft,Entire home/apt,3,100,1,1,0,14
7134081,42.3452801,-71.0524536,2.93,2.7,2.67,4.58,3.66,1.37,2.58,1.35,5.07,2.15,390,2,195,98,0.87,12,Condominium,Entire home/apt,4,100,3,2,2,337
6609546,42.3493516,-71.0402533,3.65,3.2,3.36,4.59,3.49,1.61,2.46,1.22,5.98,2.52,150,2,75,97,4.81,74,Apartment,Private room,2,95,8,2,1,336
12639344,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,150,1,150,75,0.97,4,Apartment,Entire home/apt,4,100,16,1,1,362
8131907,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,125,1,125,93,1.34,14,Apartment,Private room,2,75,1,1,1,24
10475848,42.3497155,-71.0503794,3.05,2.6,2.76,4.21,3.27,1,2.2,0.97,5.38,1.92,361,3,120.33,88,1.64,10,Apartment,Entire home/apt,5,80,1,2,2,166
5952474,42.3405956,-71.0499635,3.01,2.78,2.75,4.77,4.12,1.84,3.05,1.82,5.15,2.23,249,1,249,88,0.96,15,Apartment,Entire home/apt,4,100,12,1,1,305
1644031,42.3391506,-71.0477216,3.17,2.93,2.9,4.92,4.28,1.99,3.2,1.97,5.3,2.38,115,1,115,87,5.38,35,House,Private room,2,93,1,1,1,56
8366402,42.3413757,-71.0478367,3.17,2.94,2.91,5.12,4.18,1.91,3.11,1.87,5.31,2.39,180,1,180,99,1.46,17,Apartment,Entire home/apt,2,50,1,1,1,19
12309083,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,250,2,125,95,7.07,33,Apartment,Entire home/apt,6,91,2,1,2,283
11275661,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,285,2,142.5,80,0.63,4,Apartment,Entire home/apt,3,96,313,1,1,144
13602808,42.351979,-71.048016,3.26,2.8,2.97,4.2,3.1,1.21,2.07,0.83,5.62,2.13,249,2,124.5,100,5,7,Apartment,Entire home/apt,4,100,4,1,2,55
3363097,42.3452801,-71.0524536,2.93,2.7,2.67,4.58,3.66,1.37,2.58,1.35,5.07,2.15,400,2,200,96,1.43,21,Apartment,Entire home/apt,5,100,2,2,2,333
11734812,42.3520417,-71.0459318,3.31,2.86,3.02,4.25,3.14,1.27,2.11,0.87,5.7,2.18,506,4,126.5,95,0.84,5,Apartment,Entire home/apt,6,96,313,2,3,137
13814175,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,250,2,125,93,2,4,Apartment,Entire home/apt,4,100,7,1,1,337
13746896,42.3497155,-71.0503794,3.05,2.6,2.76,4.21,3.27,1,2.2,0.97,5.38,1.92,199,2,99.5,100,3,6,Apartment,Entire home/apt,4,100,1,1,1,42
13942919,42.3481298,-71.0385345,3.75,3.3,3.46,4.74,3.64,1.71,2.61,1.37,6.06,2.62,199,1,199,97,3.75,6,Apartment,Entire home/apt,3,88,1,1,0,279
