listing_id,lat,lon
12147973,42.2851663,-71.1319945
3075044,42.2852178,-71.1342563
6976,42.2918888,-71.1350492
1436513,42.3600825,-71.0588801
7651065,42.2839824,-71.1357287
12386020,42.2937491,-71.1305477
5706985,42.2803086,-71.1313643
2843445,42.2795479,-71.1355308
753446,42.284581,-71.1250004
849408,42.2776715,-71.1604063
12023024,42.2837149,-71.141041
1668313,42.2839824,-71.1357287
2684840,42.2907406,-71.130176
13547301,42.2895642,-71.1298046
5434353,42.2870209,-71.1404614
225979,42.2803001,-71.1298518
3420384,42.2746464,-71.1260763
13512930,42.2907406,-71.130176
7482195,42.2847263,-71.1141626
7252607,42.2847263,-71.1141626
2583074,42.2790067,-71.1361654
13251243,42.2936962,-71.1391139
225834,42.2803001,-71.1298518
6400432,42.2759084,-71.1256625
5498472,42.275997,-71.1284718
894539,42.2903635,-71.1309353
879929,42.2903635,-71.1309353
9218312,42.2895642,-71.1298046
321328,42.2916525,-71.1347054
1810172,42.2839824,-71.1357287
6513924,42.2836161,-71.1190032
7093109,42.2836161,-71.1190032
14690527,42.2882344,-71.1300521
7086825,42.2847263,-71.1141626
1861070,42.2776651,-71.1288328
4283698,42.2901557,-71.137989
10116095,42.2904978,-71.1344368
8548176,42.2803086,-71.1313643
4922204,42.2803086,-71.1313643
4085362,42.2795479,-71.1355308
3755609,42.2759084,-71.1256625
13768853,42.288908,-71.1341622
1936861,42.2901557,-71.137989
4461111,42.2790067,-71.1361654
1724900,42.2851663,-71.1319945
13937181,42.2760159,-71.1355519
3968797,42.2903635,-71.1309353
1494726,42.2755249,-71.1312728
8473851,42.2784885,-71.1372684
3575220,42.2790067,-71.1361654
1591827,42.2836161,-71.1190032
3229255,42.2852178,-71.1342563
1721016,42.2851663,-71.1319945
12535687,42.2837499,-71.1302866
12994227,42.2980991,-71.1126716
12927298,42.2922625,-71.1342907
169938,42.3118724,-71.1047488
594693,42.2955696,-71.1220297
2384581,42.3104274,-71.1173996
735970,42.3166444,-71.1142376
4262255,42.3041938,-71.1062922
4000384,42.3167197,-71.1007364
6693305,42.3208799,-71.1065402
6730758,42.3133696,-71.1043735
6248970,42.3209036,-71.104655
12806707,42.3157967,-71.1150174
14246616,42.3208799,-71.1065402
3703674,42.3140033,-71.1122811
4792901,42.3157967,-71.1150174
5717528,42.3176253,-71.1064023
5601743,42.3129882,-71.1028974
13333862,42.3155639,-71.1032737
519272,42.3040313,-71.1064623
14090779,42.3169796,-71.1124623
8481291,42.3120135,-71.1003526
6990904,42.3144764,-71.1006797
197727,42.311169,-71.1187802
932853,42.3176253,-71.1064023
11159585,42.3122377,-71.1242252
9677354,42.3169505,-71.1059087
13426831,42.3170274,-71.1048852
7956634,42.2955696,-71.1220297
568234,42.3070002,-71.1117353
1030500,42.2915123,-71.1162369
13652374,42.2329523,-71.1335994
12930651,42.3042287,-71.1138303
3997572,42.3140033,-71.1122811
4223387,42.3178068,-71.1007759
12855396,42.3239036,-71.1090608
12426823,42.2784305,-71.1599071
14361322,42.2784305,-71.1599071
2963419,42.3205597,-71.1136688
